,id,location,x,y
185,185,Battery Park City,-74.01598358,40.71509171
186,186,Murray Hill,-73.97512054,40.7522583
187,187,Roosevelt Island,-73.95571899,40.76820374
188,188,Upper West Side,-73.97188568,40.78183365
189,189,Chelsea,-74.00592804,40.74522018
190,190,Carroll Gardens,-73.99788666,40.68285751
191,191,Chelsea,-73.9962616,40.73803711
192,192,Chelsea,-73.99120331,40.74973679
193,193,Roosevelt Island,-73.95786285,40.7653656
194,194,,0.0,0.0
195,195,Tribeca,-74.01063538,40.71743774
196,196,Midtown,-73.96724701,40.76068878
197,197,East Village,-73.97779846,40.73419189
198,198,Upper West Side,-73.97921753,40.78488159
199,199,Upper West Side,-73.98064423,40.782444
200,200,Theater District,-73.98426056,40.75483322
201,201,Chelsea,-73.99336243,40.74690247
202,202,Upper West Side,-73.9622345,40.77607727
203,203,Long Island City,-73.93569946,40.76107025
204,204,Murray Hill,-73.97733307,40.75014114
205,205,Upper West Side,-73.96103668,40.79672623
206,206,Central Park,-73.96102142,40.76947021
207,207,Theater District,-73.98825836,40.75381088
208,208,Cobble Hill,-73.99602509,40.68672943
209,209,Chelsea,-73.99082947,40.75052643
210,210,Flatiron District,-73.98930359,40.74047852
211,211,Upper West Side,-73.96990967,40.78459167
212,212,Midtown,-73.96685028,40.76163864
213,213,Upper West Side,-73.98110962,40.77938843
214,214,Flatiron District,-73.98545074,40.74451065
215,215,Upper West Side,-73.96494293,40.79513168
216,216,Midtown,-73.96777344,40.75600815
217,217,Hell's Kitchen,-73.99271393,40.75522232
218,218,Central Park,-73.95632935,40.77143478
219,219,Upper West Side,-73.96843719,40.79944611
220,220,Roosevelt Island,-73.96105194,40.76081085
221,221,Upper West Side,-73.97190094,40.79478073
222,222,Central Park,-73.95822906,40.77873993
223,223,East Harlem,-73.94605255,40.79247284
224,224,Central Park,-73.95603179999999,40.78109741
225,225,Midtown,-73.98194122,40.75214386
226,226,Roosevelt Island,-73.9536438,40.76662064
227,227,Chelsea,-73.99176025,40.7492485
