VendorID	tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	pickup_longitude	pickup_latitude	RatecodeID	store_and_fwd_flag	dropoff_longitude	dropoff_latitude	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
1	2016-01-01 0:00	2016-01-01 0:03	1	1.3	-73.93352509	40.80292892	1	N	-73.94567108	40.78598404	2	5.5	0.5	0.5	0	0	0.3	6.8
2	2016-01-01 0:00	2016-01-01 0:27	5	7.25	-73.9729538	40.75571823	1	N	-73.97881317	40.68455124	2	26	0.5	0.5	0	0	0.3	27.3
2	2016-01-01 0:00	2016-01-01 0:13	5	3.6	-73.99694824	40.72050095	1	N	-73.95818329	40.72179031	1	13.5	0.5	0.5	2.96	0	0.3	17.76
2	2016-01-01 0:00	2016-01-01 0:09	6	0.32	-73.99375916	40.75162125	1	N	-73.99086761	40.75608826	1	7	0.5	0.5	0	0	0.3	8.3
1	2016-01-01 0:00	2016-01-01 0:10	1	3.7	-73.97831726	40.76317978	1	N	-73.92160797	40.74137497	1	13	0.5	0.5	5.7	0	0.3	20
2	2016-01-01 0:00	2016-01-01 0:10	1	1.61	-73.96375275	40.77116013	1	N	-73.9756012	40.75273895	2	8.5	0.5	0.5	0	0	0.3	9.8
1	2016-01-01 0:00	2016-01-01 0:06	1	1.2	-73.97602081	40.74456024	1	N	-73.9664917	40.75366211	1	6.5	0.5	0.5	2.3	0	0.3	10.1
1	2016-01-01 0:00	2016-01-01 0:17	1	8.8	-73.97679138	40.7336998	1	N	-73.89214325	40.75072479	1	26	0.5	0.5	5.45	0	0.3	32.75
2	2016-01-01 0:00	2016-01-01 0:34	1	14.04	-73.98428345	40.74805832	1	N	-73.99208832	40.60917664	2	42	0.5	0.5	0	0	0.3	43.3
1	2016-01-01 0:00	2016-01-01 0:08	1	2.2	-73.96987152	40.76850891	1	N	-73.94934845	40.7877655	2	9	0.5	0.5	0	0	0.3	10.3
1	2016-01-01 0:00	2016-01-01 0:14	1	4.3	-73.96617889	40.76222229	1	N	-73.89775848	40.74314117	2	15.5	0.5	0.5	0	0	0.3	16.8
1	2016-01-01 0:00	2016-01-01 0:11	2	1.3	-74.00437927	40.74225235	1	N	-73.98422241	40.73819733	1	8.5	0.5	0.5	1	0	0.3	10.8
2	2016-01-01 0:00	2016-01-01 0:07	1	1.03	-73.99133301	40.72389221	1	N	-73.98368835	40.72151566	2	6.5	0.5	0.5	0	0	0.3	7.8
2	2016-01-01 0:00	2016-01-01 0:00	5	0	0	0	3	N	0	0	2	20	0.5	0	0	0	0.3	20.8
2	2016-01-01 0:00	2016-01-01 0:05	1	1.1	-73.97415924	40.79573059	1	N	-73.96251678	40.80493164	1	6	0.5	0.5	1	0	0.3	8.3
2	2016-01-01 0:00	2016-01-01 0:09	6	1.85	-73.99420166	40.72647095	1	N	-74.01474762	40.71620178	2	8.5	0.5	0.5	0	0	0.3	9.8
2	2016-01-01 0:00	2016-01-01 0:12	1	1.43	-73.98963928	40.73439789	1	N	-73.97879028	40.72411346	2	7.5	0.5	0.5	0	0	0.3	8.8
2	2016-01-01 0:00	2016-01-01 0:18	1	4.93	-74.0014801	40.72743988	1	N	-73.95645142	40.76815033	1	17.5	0.5	0.5	3.76	0	0.3	22.56
1	2016-01-01 0:00	2016-01-01 0:03	1	0.8	-73.97915649	40.74050903	1	N	-73.98852539	40.73464584	1	4.5	0.5	0.5	1.45	0	0.3	7.25
1	2016-01-01 0:00	2016-01-01 0:13	2	8.7	-73.95392609	40.76694489	1	N	-73.92446136	40.86139297	1	25	0.5	0.5	0	0	0.3	26.3
2	2016-01-01 0:00	2016-01-01 0:09	1	1.22	-73.98213959	40.77168655	1	N	-73.97445679	40.7624855	2	7.5	0.5	0.5	0	0	0.3	8.8
2	2016-01-01 0:00	2016-01-01 0:19	2	11.87	-73.78082275	40.64518356	1	N	-73.89084625	40.74300766	1	33	0.5	0.5	8.58	0	0.3	42.88
2	2016-01-01 0:00	2016-01-01 0:06	6	0.72	-73.99739838	40.7207489	1	N	-73.99918365	40.72790527	1	5.5	0.5	0.5	1.36	0	0.3	8.16
1	2016-01-01 0:00	2016-01-01 0:29	2	3.1	-73.98404694	40.75527954	1	N	-73.99514771	40.72063446	1	19.5	0.5	0.5	4.15	0	0.3	24.95
1	2016-01-01 0:00	2016-01-01 0:08	3	1.8	-73.98387146	40.74240875	1	N	-74.00236511	40.72634888	2	8	0.5	0.5	0	0	0.3	9.3
2	2016-01-01 0:00	2016-01-01 0:11	1	2.5	-73.99575043	40.74409103	1	N	-74.00975037	40.71276093	2	10.5	0.5	0.5	0	0	0.3	11.8
1	2016-01-01 0:00	2016-01-01 0:22	1	4.9	-73.98508453	40.74716568	1	N	-73.95803833	40.71749115	1	19	0.5	0.5	1.7	0	0.3	22
2	2016-01-01 0:00	2016-01-01 0:08	1	1.53	-73.97100067	40.79764175	1	N	-73.9536972	40.78512955	1	8	0.5	0.5	1.86	0	0.3	11.16
1	2016-01-01 0:00	2016-01-01 0:17	1	1.1	-73.98415375	40.76485825	1	N	-73.97802734	40.76293564	2	11	0.5	0.5	0	0	0.3	12.3
2	2016-01-01 0:00	2016-01-01 0:28	4	15.64	-73.78713989	40.6440506	1	N	-73.94842529	40.73073578	2	44	0.5	0.5	0	0	0.3	45.3
1	2016-01-01 0:00	2016-01-01 0:17	1	5.7	-73.9877243	40.75056839	1	N	-74.03556824	40.71357346	1	18	0.5	0.5	8	10.5	0.3	37.8
2	2016-01-01 0:00	2016-01-01 0:10	6	2.56	-73.9796524	40.77611923	1	N	-73.96468353	40.80675507	1	10.5	0.5	0.5	2.36	0	0.3	14.16
2	2016-01-01 0:01	2016-01-01 0:18	3	15.25	-73.78180695	40.64486313	1	N	-73.93797302	40.72632599	1	40.5	0.5	0.5	0	0	0.3	41.8
2	2016-01-01 0:01	2016-01-01 0:07	5	1.65	-73.96527863	40.80104065	1	N	-73.94747925	40.81517029	2	7.5	0.5	0.5	0	0	0.3	8.8
2	2016-01-01 0:01	2016-01-01 0:13	6	7.85	-73.97962952	40.74325562	1	N	-73.91187286	40.76462936	1	22.5	0.5	0.5	5.87	5.54	0.3	35.21
2	2016-01-01 0:01	2016-01-01 0:20	2	1.28	-73.98442078	40.76723862	1	N	-73.97859955	40.75426102	2	11.5	0.5	0.5	0	0	0.3	12.8
2	2016-01-01 0:01	2016-01-01 0:26	1	3.18	-74.01099396	40.70887375	1	N	-73.98805237	40.74932098	2	17	0.5	0.5	0	0	0.3	18.3
2	2016-01-01 0:01	2016-01-01 0:04	1	0.56	-73.98074341	40.7469101	1	N	-73.99086761	40.75115967	2	4.5	0.5	0.5	0	0	0.3	5.8
2	2016-01-01 0:01	2016-01-01 0:05	2	0.94	-73.99197388	40.72647858	1	N	-74.00308228	40.72204971	2	5	0.5	0.5	0	0	0.3	6.3
1	2016-01-01 0:01	2016-01-01 0:19	1	3.2	-74.00213623	40.76063919	1	N	-73.97289276	40.74345016	1	14.5	0.5	0.5	3.15	0	0.3	18.95
1	2016-01-01 0:01	2016-01-01 0:17	1	2.7	-73.99497223	40.76023483	1	N	-74.00152588	40.7358551	1	13	0.5	0.5	4.25	0	0.3	18.55
1	2016-01-01 0:01	2016-01-01 0:23	1	5	-74.00226593	40.73036957	1	N	-73.95168304	40.77349854	1	19.5	0.5	0.5	4.5	0	0.3	25.3
1	2016-01-01 0:01	2016-01-01 0:06	2	1.6	-73.98082733	40.7796402	1	N	-73.97141266	40.7985878	1	6.5	0.5	0.5	1.55	0	0.3	9.35
2	2016-01-01 0:01	2016-01-01 0:05	1	0.58	-73.99807739	40.73796844	1	N	-74.0041275	40.74279022	1	5	0.5	0.5	1.26	0	0.3	7.56
1	2016-01-01 0:01	2016-01-01 0:36	2	6	-73.99944305	40.72983551	1	N	-73.96417999	40.80315399	1	25.5	0.5	0.5	5.36	0	0.3	32.16
2	2016-01-01 0:01	2016-01-01 0:08	5	2.51	-73.93270874	40.75286102	1	N	-73.96361542	40.75764084	2	9.5	0.5	0.5	0	0	0.3	10.8
2	2016-01-01 0:01	2016-01-01 0:24	4	1.24	-73.98168945	40.76839066	1	N	-73.97975159	40.75553894	2	14.5	0.5	0.5	0	0	0.3	15.8
1	2016-01-01 0:01	2016-01-01 0:08	1	1.5	-74.00348663	40.74156952	1	N	-74.00235748	40.72634125	1	7.5	0.5	0.5	2.2	0	0.3	11
1	2016-01-01 0:01	2016-01-01 0:07	2	1.4	-73.97794342	40.78367615	1	N	-73.95558929	40.77344131	1	7	0.5	0.5	2.45	0	0.3	10.75
2	2016-01-01 0:01	2016-01-01 0:11	1	1.89	-73.99256897	40.73961639	1	N	-73.99531555	40.72181702	2	9	0.5	0.5	0	0	0.3	10.3
